Cuisine,Coordinates
Japanese; Barbeque,"(43.4741482589218, -79.7349969754881)"
Vegetarian; Indian,"(43.6588529285714, -79.3493249857143)"
Seafood; Pizza; Italian,"(43.8452512623755, -79.5570956086677)"
Thai,"(43.64784105, -79.3887814554641)"
Mexican,"(43.6544047, -79.4004185)"
Japanese; Pubs,"(43.660404, -79.3789396)"
Vietnamese; Sandwiches,"(43.6487442, -79.3969443)"
Canadian (New),"(43.6513837, -79.3789722)"
Mediterranean; Middle Eastern,"(43.8584932, -81.2491229)"
Desserts; Ice Cream & Frozen Yogurt,"(43.646239, -79.4194056)"
Thai,"(43.6463913, -79.3936588)"
Ramen,"(43.6564433, -79.4068731)"
Pizza; Salad; Fast Food,"(43.6565847, -79.3805395)"
Canadian (New); Turkish,"(43.6512113, -79.4751539)"
Burgers,"(43.8291978, -79.5390965)"
Indian,"(43.7723315573085, -79.1855623997777)"
Seafood; Comfort Food; Breakfast & Brunch,"(43.651510125, -79.3738285)"
Coffee & Tea,"(41.99713114, -82.83242752)"
American (Traditional); Barbeque; Burgers,"(43.6814516647059, -79.4263322529412)"
Breakfast & Brunch; Canadian (New),"(43.64007975, -79.4198230498866)"
Aquariums,"(43.6424219, -79.3861229074419)"
French; Bars,"(43.6818722, -79.4002222)"
Japanese; Sushi Bars,"(43.6497905, -79.3882051)"
Asian Fusion,"(44.7052203, -75.5211648)"
Japanese; Asian Fusion,"(43.6598858, -79.3788947)"
Ramen; Noodles,"(43.656206, -79.378092)"
Kebab; Mediterranean; Halal,"(43.64576705, -79.4485819997892)"
Italian; Pizza; Seafood,"(43.8452512623755, -79.5570956086677)"
Barbeque; Japanese; Steakhouses,"(43.6671324, -79.4006315)"
Mediterranean; Kebab; Halal,"(43.64576705, -79.4485819997892)"
Breakfast & Brunch; Juice Bars & Smoothies,"(43.6537966, -79.3824316857722)"
Bars; French,"(43.6485014, -79.3959394)"
Fish & Chips; Chicken Wings; Sandwiches,"(43.6538317842105, -79.4015703)"
Filipino,"(43.6711127, -79.3748501)"
Chinese; Noodles,"(43.656617, -79.3837293)"
Landmarks & Historical Buildings; Observatories,"(43.6425637, -79.3870871832047)"
Spanish; Tapas Bars,"(43.6546689666667, -79.4207139666667)"
Japanese; Tapas/Small Plates; Pubs,"(43.6651083, -79.410606)"
Mexican,"(44.5775179, -75.7026455)"
Vietnamese; Asian Fusion,"(43.659165, -79.382002)"
Kebab; Halal; Mediterranean,"(43.64576705, -79.4485819997892)"
Dim Sum; Dumplings,"(43.6526555, -79.3983748)"
Sandwiches; Soup,"(43.6476139, -79.3919228)"
Sandwiches,"(45.452002, -75.6764956880531)"
Barbeque,"(43.7123593846154, -79.3535780076923)"
Sandwiches; Middle Eastern; Coffee & Tea,"(43.6524912, -79.3725733)"
Sushi Bars; Japanese,"(43.6480668, -79.4003043)"
Bistros; Beer Bar,"(43.6494252, -79.3772438)"
Pizza,"(43.6628959, -79.33242068)"
Lounges; Cocktail Bars,"(43.648094, -79.4001545)"
Breakfast & Brunch; Bakeries; Comfort Food,"(43.6808686, -79.4304237)"
Turkish; Canadian (New),"(43.6512113, -79.4751539)"
Japanese; Barbeque; Steakhouses,"(43.6671324, -79.4006315)"
Pizza; Seafood; Italian,"(43.8452512623755, -79.5570956086677)"
Chocolatiers & Shops; Ice Cream & Frozen Yogurt; Desserts,"(43.6451865, -79.3957149)"
Ramen,"(43.7387473734912, -79.4021122460006)"
Steakhouses; Bars; Seafood,"(43.66681385, -79.3778821002627)"
Art Museums,"(43.65357425, -79.392764725972)"
Tea Rooms; Ice Cream & Frozen Yogurt; Desserts,"(42.9835604285714, -81.2499425952381)"
Himalayan/Nepalese,"(43.6401047, -79.4396675)"
Polish,"(43.6451197, -79.4484135)"
Canadian (New); Breakfast & Brunch,"(43.6440878, -79.405647)"
Filipino,"(43.682215125, -79.42377215)"
Museums,"(43.66766165, -79.3946979735188)"
Barbeque; Japanese,"(43.4741482589218, -79.7349969754881)"
Indian,"(43.6446533, -79.3910439)"
Ramen,"(43.6502747, -79.3887654)"
Sushi Bars,"(43.6550998, -79.3852107)"
Sushi Bars,"(43.9580978, -78.9568605)"
Desserts; Macarons; Patisserie/Cake Shop,"(43.6458348, -79.4114303)"
French; Bistros; Diners,"(43.6485014, -79.3959394)"
French; Coffee & Tea; Breakfast & Brunch,"(43.643826, -79.3968131)"
Peruvian,"(43.64365, -79.39688475)"
Thai,"(43.6577036, -79.3816976)"
Sushi Bars; Japanese,"(43.6483865, -79.3883322)"
Vegan; Vegetarian; Gluten-Free,"(43.6554098, -79.4026596)"
Pizza; Italian; Seafood,"(43.8452512623755, -79.5570956086677)"
Halal; Kebab; Mediterranean,"(43.64576705, -79.4485819997892)"
Bars; Mexican,"(43.6417457, -79.431558)"
Laotian; Thai; Bars,"(43.6704347, -79.3847045)"
Canadian (New); Sandwiches; Breakfast & Brunch,"(46.3814497, -81.3423834)"
Hawaiian; Poke,"(43.5502560181818, -80.2389571090909)"
Desserts; Bakeries; Ice Cream & Frozen Yogurt,"(43.6657132, -79.4091432)"
Spanish; Tapas/Small Plates; Cocktail Bars,"(43.655877, -79.4099236)"
Chicken Shop; Comfort Food; Sandwiches,"(43.6495673, -79.3655213)"
Barbeque; Smokehouse,"(43.647964, -79.4495224)"
Canadian (New),"(43.6591474, -79.3491056)"
Cocktail Bars; Modern European; Canadian (New),"(43.6429884, -79.4254178)"
Barbeque; Steakhouses; Japanese,"(43.6671324, -79.4006315)"
Barbeque; Bars; American (Traditional),"(44.6056469, -79.4110293)"
Latin American; Nicaraguan,"(43.6622618, -79.4250007)"
Italian,"(43.6747648, -79.457764)"
Bars; Cafes,"(43.6648266, -79.4132196)"
Mexican,"(43.6559114, -79.4097488)"
Thai; Noodles,"(43.6584049117647, -79.3657763705882)"
Steakhouses; Bars; Seafood,"(43.6499749, -79.3840004553683)"
Tapas/Small Plates; Pizza; Cocktail Bars,"(43.6702374, -79.3894598)"
Canadian (New); Cafes,"(43.6540972052632, -79.4016762)"
Mexican,"(43.6484573, -79.3880401)"
Steakhouses; Japanese; Barbeque,"(43.6671324, -79.4006315)"
Ramen,"(43.6469498, -79.4046481)"
Ramen; Noodles,"(43.6494704, -79.3863338)"
Japanese; Asian Fusion,"(43.6496197, -79.4230815)"
Ramen,"(43.6768992857143, -79.3590668571428)"
Japanese; Mexican; Sushi Bars,"(43.647336, -79.3932435)"
Chinese,"(43.6538024923077, -79.3980690076923)"
Coffee & Tea; Sandwiches; Desserts,"(43.7803226, -79.4211651)"
Burgers,"(43.648434, -79.397321)"
Coffee & Tea; Coffee Roasteries,"(43.6542053, -79.4001807)"
Coffee & Tea; Desserts,"(43.6513409, -79.3970085)"
Korean,"(43.6638316, -79.4166442)"
Japanese; Steakhouses; Barbeque,"(43.6671324, -79.4006315)"
Breakfast & Brunch; Comfort Food,"(43.6642046, -79.4149866)"
Coffee & Tea; Vietnamese,"(43.6646207, -79.4130493)"
Persian/Iranian,"(43.6525565, -79.4331149)"
Food Court,"(43.65034915, -79.3838532685437)"
Pizza; Italian,"(46.5085856, -80.9360197954497)"
