Name,Cuisine,URL
'Ono Poké Bar,Asian Food; Hawaiian; Sushi Bars; Japanese; Asian,https://www.doordash.com/store/-ono-pok-bar-toronto-113689/
'Ono Poké Bar,Asian Food; Hawaiian; Sushi Bars; Asian; Japanese,https://www.doordash.com/store/-ono-pok-bar-toronto-869446/
100% Salvadoreño Restaurante,Unspecified,https://www.doordash.com/store/100-salvadore-o-restaurante-toronto-542622/
1011 Sip Tea,Bubble Tea,https://www.doordash.com/store/1011-sip-tea-toronto-864124/
12 Tables,Greek; Italian,https://www.doordash.com/store/12-tables-toronto-178830/
168 Sushi Asian Buffet,Buffets; Asian Food; Asian; Japanese; Sushi,https://www.doordash.com/store/168-sushi-asian-buffet-vaughan-60426/
1915 Lan Zhou Ramen,Chinese; Ramen; Asian; Japanese,https://www.doordash.com/store/1915-lan-zhou-ramen-toronto-314511/
2 Bros Cuisine,Falafel; Gyro; Greek; Salads; Soup,https://www.doordash.com/store/2-bros-cuisine-toronto-45995/
2 for 1 Shawarma,Unspecified,https://www.doordash.com/store/2-for-1-shawarma-toronto-701248/
241 Pizza,Pizza; Gluten-Free; Vegan,https://www.doordash.com/store/241-pizza-toronto-774342/
241 Pizza,Pizza; Gluten-Free; Vegan,https://www.doordash.com/store/241-pizza-toronto-774339/
241 Pizza,Pizza; Gluten-Free; Vegan,https://www.doordash.com/store/241-pizza-toronto-774346/
241 Pizza,Pizza; Gluten-Free; Vegan,https://www.doordash.com/store/241-pizza-toronto-774341/
241 Pizza,Pizza; Gluten-Free; Vegan,https://www.doordash.com/store/241-pizza-mississauga-828459/
244 Pizza & Wings,Pizza,https://www.doordash.com/store/244-pizza-wings-toronto-69731/
3 Mariachis,Unspecified,https://www.doordash.com/store/3-mariachis-toronto-725405/
3 Monkeys Eatery,Pubs,https://www.doordash.com/store/3-monkeys-eatery-toronto-210797/
309 Dhaba Indian Excellence,Chicken; Vegan; Gluten-Free; Vegetarian; Indian,https://www.doordash.com/store/309-dhaba-indian-excellence-toronto-52308/
369 Mazel,American; Burgers; Comfort Food,https://www.doordash.com/store/369-mazel-toronto-782907/
4C Broast Chicken,Fast Food; Halal; Barbeque; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/4c-broast-chicken-toronto-152911/
4C Broast Chicken,Fast Food; Halal; Lunch; Barbeque; Sandwich; Breakfast,https://www.doordash.com/store/4c-broast-chicken-toronto-60429/
5 Points Bar & Grill,Deli,https://www.doordash.com/store/5-points-bar-grill-toronto-564340/
5 Spice Dining,Indian; Lunch,https://www.doordash.com/store/5-spice-dining-toronto-306159/
6 Boss Caribbean Jerk,Caribbean,https://www.doordash.com/store/6-boss-caribbean-jerk-markham-568708/
6 spice,Unspecified,https://www.doordash.com/store/6-spice-toronto-731170/
60Beans, Coffee; Breakfast; Sandwich; Lunch,https://www.doordash.com/store/60beans-toronto-365373/
6ix Triangles,Indian,https://www.doordash.com/store/6ix-triangles-toronto-783707/
6ixfit,Unspecified,https://www.doordash.com/store/6ixfit-toronto-512610/
7 West Cafe,American (New); Italian; Bar and Grill; Lunch; Breakfast; Cafes,https://www.doordash.com/store/7-west-cafe-toronto-418108/
817 Sports Bar & Grill,Canadian; Pubs; sports bars,https://www.doordash.com/store/817-sports-bar-grill-toronto-535224/
98 Aroma,Asian; Chinese,https://www.doordash.com/store/98-aroma-toronto-59858/
A & N Take Out,Unspecified,https://www.doordash.com/store/a-n-take-out-toronto-353312/
A Yiddishe Mame,Kosher,https://www.doordash.com/store/a-yiddishe-mame-vaughan-206768/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-vaughan-578088/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-568152/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-578115/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-678684/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-toronto-576548/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-toronto-155104/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-toronto-693750/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-toronto-567620/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-102527/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-576567/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-toronto-639197/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-710333/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-mississauga-491609/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-vaughan-783408/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-vaughan-576629/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-732226/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-toronto-576581/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-toronto-615034/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-mississauga-487282/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-toronto-710328/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-578090/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-639207/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-615005/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-155110/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-578106/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-567654/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-615035/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-toronto-576561/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-toronto-576621/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-827093/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-710320/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-toronto-155124/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-840297/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-toronto-676704/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-mississauga-678698/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-578089/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-615069/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/a-w-canada-toronto-576563/
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,https://www.doordash.com/store/a-w-canada-toronto-581480/
AAamazing Salad,Vegan; Healthy; Gluten-Free; Salads; Vegetarian,https://www.doordash.com/store/aaamazing-salad-toronto-39461/
AAamazing Salad,Vegan; Healthy; Gluten-Free; Salads; Vegetarian,https://www.doordash.com/store/aaamazing-salad-toronto-818295/
ABC Euro Delicatessen,Deli,https://www.doordash.com/store/abc-euro-delicatessen-toronto-658536/
APM DIM SUM HOUSE,Dim Sum,https://www.doordash.com/store/apm-dim-sum-house-markham-517733/
ASAP City,Sandwiches; Sandwich,https://www.doordash.com/store/asap-city-toronto-733525/
Aanch,Indian,https://www.doordash.com/store/aanch-toronto-99521/
Abena,Sandwiches; Breakfast and Lunch,https://www.doordash.com/store/abena-toronto-750514/
Abubakr Halal Pizza and Wings,Pizza,https://www.doordash.com/store/abubakr-halal-pizza-and-wings-toronto-873068/
Abyssinia Ethiopian Resturant,Unspecified,https://www.doordash.com/store/abyssinia-ethiopian-resturant-toronto-783085/
Acai Concept,Smoothies; Coffee; Acai Bowls; Vegan; Juice Bar; Fast Food; Breakfast; Vegetarian; Sandwich; Sandwiches; Lunch; Healthy,https://www.doordash.com/store/acai-concept-toronto-814740/
Acores Rotisserie Chicken,Portuguese; Spanish; Modern European; Barbeque,https://www.doordash.com/store/acores-rotisserie-chicken-vaughan-60403/
Adam's Shawarma,Middle East,https://www.doordash.com/store/adam-s-shawarma-toronto-714095/
Adriano's Pizza and Pasta,Italian; Pizza,https://www.doordash.com/store/adriano-s-pizza-and-pasta-toronto-205993/
Affy's Premium Grill,Burgers; Halal; Steakhouses; Lunch; Breakfast; Sandwich,https://www.doordash.com/store/affy-s-premium-grill-toronto-314406/
Afghan Cuisine,Middle East; Afghan,https://www.doordash.com/store/afghan-cuisine-toronto-44546/
Afghan Kabob Restaurant,Unspecified,https://www.doordash.com/store/afghan-kabob-restaurant-toronto-803113/
Afghan Kebab,Middle East; Afghan,https://www.doordash.com/store/afghan-kebab-toronto-79850/
Afghan Kebab & Shawarma,Afghan; Middle East; Halal,https://www.doordash.com/store/afghan-kebab-shawarma-pickering-226618/
Afghan Kebob Cuisine,Afghan,https://www.doordash.com/store/afghan-kebob-cuisine-toronto-46221/
African Chop Bar,African; Comfort Food; Steakhouses,https://www.doordash.com/store/african-chop-bar-toronto-772334/
African Palace,Ethiopian; African,https://www.doordash.com/store/african-palace-toronto-30288/
African Village,African,https://www.doordash.com/store/african-village-toronto-739971/
Agio,Italian,https://www.doordash.com/store/agio-toronto-37160/
Agoro Soups,Soup; Burgers; Salads; Sandwich; Breakfast; Lunch,https://www.doordash.com/store/agoro-soups-toronto-182944/
Aiolio Trattoria,Unspecified,https://www.doordash.com/store/aiolio-trattoria-toronto-839183/
Airport Gate Cafe & Grill,Dinners; Dinner; Breakfast; Lunch,https://www.doordash.com/store/airport-gate-cafe-grill-toronto-52730/
Aish Tanoor,Kosher,https://www.doordash.com/store/aish-tanoor-toronto-152674/
Aji Sushi,Asian; Sushi; Japanese,https://www.doordash.com/store/aji-sushi-toronto-152680/
Ajisen Ramen,Ramen; Noodles; Asian; Pickup; Japanese,https://www.doordash.com/store/ajisen-ramen-toronto-37468/
Ajisen Ramen,Ramen; Noodles; Pickup; Japanese; Asian,https://www.doordash.com/store/ajisen-ramen-markham-37470/
Ajisen Ramen,Ramen; Noodles; Asian; Pickup; Japanese,https://www.doordash.com/store/ajisen-ramen-toronto-37469/
Ajwa Pizza and Grill,Pizza,https://www.doordash.com/store/ajwa-pizza-and-grill-toronto-621236/
Akai Sushi,Sushi; Healthy; Japanese,https://www.doordash.com/store/akai-sushi-toronto-44799/
Al Mandi,Middle East; Greek,https://www.doordash.com/store/al-mandi-toronto-178839/
Al Sherooq,Middle East,https://www.doordash.com/store/al-sherooq-toronto-832620/
Al-Meezans Spicy Grill,Afghan; Middle East; Lunch,https://www.doordash.com/store/al-meezans-spicy-grill-toronto-60173/
Aladdin Chicken Shawarma,Unspecified,https://www.doordash.com/store/aladdin-chicken-shawarma-toronto-702696/
Aleezas Pizza,Pizza,https://www.doordash.com/store/aleezas-pizza-toronto-524260/
Aleppo Kebab,Unspecified,https://www.doordash.com/store/aleppo-kebab-toronto-609849/
Alex's Shawarma,Falafel,https://www.doordash.com/store/alex-s-shawarma-markham-742703/
Alexander Falafel,Falafel,https://www.doordash.com/store/alexander-falafel-toronto-267980/
Alexandros,Mediterranean; Fast Food; Greek,https://www.doordash.com/store/alexandros-toronto-37536/
Alexandros,Mediterranean; Fast Food; Greek,https://www.doordash.com/store/alexandros-toronto-540236/
Alexandros,Mediterranean; Greek; Fast Food,https://www.doordash.com/store/alexandros-toronto-37535/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-543000/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-542395/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-206561/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-34718/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-34714/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-206560/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-34719/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-716297/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-542306/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-60184/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-34724/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-34722/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-34715/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-34720/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-543001/
Ali Baba's Middle Eastern Cuisine,Halal; Middle East,https://www.doordash.com/store/ali-baba-s-middle-eastern-cuisine-toronto-542354/
Ali's West Indian Roti Shop,Halal; Indian; Catering; Caribbean,https://www.doordash.com/store/ali-s-west-indian-roti-shop-toronto-26487/
Alioli Ristorante, Italian,https://www.doordash.com/store/alioli-ristorante-mississauga-45867/
All Star Wings and Ribs,Chicken Wings; sports bars,https://www.doordash.com/store/all-star-wings-and-ribs-toronto-542251/
Alladin Grill,Unspecified,https://www.doordash.com/store/alladin-grill-toronto-813167/
Alleycatz Restaurant Jazz Bar,Mediterranean; Canadian; Greek; Bar and Grill,https://www.doordash.com/store/alleycatz-restaurant-jazz-bar-toronto-68696/
Allin Mikuna Soups Inc,Unspecified,https://www.doordash.com/store/allin-mikuna-soups-inc-toronto-468277/
Allwyn's,Ethnic Food; African; Dessert; Sweets; Caribbean,https://www.doordash.com/store/allwyn-s-toronto-567982/
Allwyn's,Caribbean,https://www.doordash.com/store/allwyn-s-toronto-149140/
Allwyn's,Ethnic Food; African; Dessert; Sweets; Caribbean,https://www.doordash.com/store/allwyn-s-toronto-420330/
Aloha Poke,Poke; Hawaiian,https://www.doordash.com/store/aloha-poke-vaughan-530078/
Altona Kebob,Middle East,https://www.doordash.com/store/altona-kebob-toronto-530007/
Am2pm Express Market,Unspecified,https://www.doordash.com/store/am2pm-express-market-toronto-750704/
Amato Pizza,Pizza,https://www.doordash.com/store/amato-pizza-toronto-116668/
Amaya Express,Indian,https://www.doordash.com/store/amaya-express-toronto-727579/
Amaya Express,Indian,https://www.doordash.com/store/amaya-express-toronto-715536/
Amaya Express,Indian,https://www.doordash.com/store/amaya-express-toronto-460219/
Amaya Express,Indian,https://www.doordash.com/store/amaya-express-mississauga-538018/
Amazing Hakka,Asian Food; Asian; Hakka; Halal; Chinese; Thai; Indian,https://www.doordash.com/store/amazing-hakka-toronto-654134/
Amazing Shawarma,Middle East; Halal; Salads,https://www.doordash.com/store/amazing-shawarma-toronto-797479/
