Name,Cuisine,Coordinate
'Ono Poké Bar,Asian Food; Hawaiian; Sushi Bars; Japanese; Asian,"(43.6392013, -79.417474)"
'Ono Poké Bar,Asian Food; Hawaiian; Sushi Bars; Asian; Japanese,"(43.7085199, -79.4011166)"
100% Salvadoreño Restaurante,Unspecified,"(43.6971284, -79.4963427)"
1011 Sip Tea,Bubble Tea,"(43.6642405, -79.4167938)"
12 Tables,Greek; Italian,"(43.7233359, -79.418517)"
168 Sushi Asian Buffet,Buffets; Asian Food; Asian; Japanese; Sushi,"(43.7879311, -79.4740713)"
1915 Lan Zhou Ramen,Chinese; Ramen; Asian; Japanese,"(43.6549636, -79.3888644)"
2 Bros Cuisine,Falafel; Gyro; Greek; Salads; Soup,"(43.6920166, -79.53378)"
2 for 1 Shawarma,Unspecified,"(43.6611461, -79.4328992)"
241 Pizza,Pizza; Gluten-Free; Vegan,"(43.6887211, -79.3505777)"
241 Pizza,Pizza; Gluten-Free; Vegan,"(43.6715331, -79.4956441)"
241 Pizza,Pizza; Gluten-Free; Vegan,"(43.6590852, -79.3702351)"
241 Pizza,Pizza; Gluten-Free; Vegan,"(43.640649, -79.4390657)"
241 Pizza,Pizza; Gluten-Free; Vegan,"(43.5595752, -79.5892296)"
244 Pizza & Wings,Pizza,"(43.6871958, -79.4926546)"
3 Mariachis,Unspecified,"(43.6922366, -79.5059072)"
3 Monkeys Eatery,Pubs,"(43.7662807, -79.30404)"
309 Dhaba Indian Excellence,Chicken; Vegan; Gluten-Free; Vegetarian; Indian,"(43.6462487, -79.3926416)"
369 Mazel,American; Burgers; Comfort Food,"(43.6871826, -79.3092423)"
4C Broast Chicken,Fast Food; Halal; Barbeque; Sandwich; Breakfast; Lunch,"(43.7102706, -79.3108362)"
4C Broast Chicken,Fast Food; Halal; Lunch; Barbeque; Sandwich; Breakfast,"(43.7428657, -79.310002)"
5 Points Bar & Grill,Deli,"(43.69277, -79.4436064)"
5 Spice Dining,Indian; Lunch,"(43.8229959, -79.2507396)"
6 Boss Caribbean Jerk,Caribbean,"(43.8035434, -79.4217625)"
6 spice,Unspecified,"(43.7352182, -79.258741)"
60Beans, Coffee; Breakfast; Sandwich; Lunch,"(43.6519775, -79.4519102)"
6ix Triangles,Indian,"(43.639513, -79.4240289)"
6ixfit,Unspecified,"(43.718959, -79.5301494)"
7 West Cafe,American (New); Italian; Bar and Grill; Lunch; Breakfast; Cafes,"(43.6684707, -79.3888895)"
817 Sports Bar & Grill,Canadian; Pubs; sports bars,"(43.6460095, -79.4113099)"
98 Aroma,Asian; Chinese,"(43.6569458, -79.4023919)"
A & N Take Out,Unspecified,"(43.6404303, -79.4390913)"
A Yiddishe Mame,Kosher,"(43.806975, -79.4737198)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.8456455, -79.5596216)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.7057953, -79.3482163)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.4708466, -80.5993746)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.6631143, -79.3861962)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.704555, -79.4098137)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.6451535, -79.5244989)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.646024, -79.3918754)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.6598084, -79.4368428)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.4708466, -80.5993746)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.706767, -79.3991623)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.7587357, -79.3074643)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.6714244, -79.4238351)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.6996731, -79.6385609)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.8064592, -79.4546458)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.7888856, -79.5488644)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.7258264, -79.4195982)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.6816885, -79.3344195)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.7676542, -79.4772569)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.644052, -79.6358631)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.6655204, -79.4670203)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.6655226, -79.4124625)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.6653888, -79.3546983)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.7368174, -79.250893)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.6546611, -79.4247744)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.7604548, -79.3277828)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.7441799, -79.4890152)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.780327, -79.3012487)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.7263483, -79.2990522)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.7610656, -79.2274782)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.5975184, -79.5233535)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.6604864, -79.3807918)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.6404372, -79.4399913)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.6610837, -79.3839455)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.8092632, -79.2248042)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.6039639, -79.5913936)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.7152731, -79.4019867)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.6759, -79.3610287)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Breakfast; Lunch,"(43.7767555, -79.2611968)"
A&W Canada,Burgers; Poutineries; Fast Food;  Canadian; Sandwich; Lunch; Breakfast,"(43.7662807, -79.30404)"
AAamazing Salad,Vegan; Healthy; Gluten-Free; Salads; Vegetarian,"(43.6550705, -79.4020988)"
AAamazing Salad,Vegan; Healthy; Gluten-Free; Salads; Vegetarian,"(43.6513611, -79.3768372)"
ABC Euro Delicatessen,Deli,"(43.7241833, -79.2950438)"
