Name,Cuisine,URL
120 Diner,american;burgers;canadian;sandwiches,https://www.foodora.ca/restaurant/s1pd/120-diner
2 Bros Cuisine,falafel;fries;kebab;meat;salad;juice-smoothie,https://www.foodora.ca/restaurant/t4ko/2-bros-cuisine
241 Pizza - Danforth,meat;salad;pizza,https://www.foodora.ca/restaurant/s5wg/241-pizza-danforth
60BEANS,bagel;sandwiches;bakery & cafe,https://www.foodora.ca/restaurant/s7ts/60beans
6Boss Caribbean Jerk,meat;caribbean,https://www.foodora.ca/restaurant/s1wv/6boss-caribbean-jerk
7 West Cafe,american;burgers;canadian;pizza;sandwiches,https://www.foodora.ca/restaurant/s4bo/7west
7-Eleven - Bloor,fried;chicken;essentials;pizza,https://www.foodora.ca/restaurant/t6ir/7-eleven-bloor
7-Eleven - Downsview,fried;chicken;essentials;pizza,https://www.foodora.ca/restaurant/t9kh/7-eleven-downsview
7-Eleven - Dundas (3355),fried;chicken;essentials;pizza,https://www.foodora.ca/restaurant/s3zo/7-eleven-dundas-3355
7-Eleven - Eglinton Ave E,fried;chicken;essentials;pizza,https://www.foodora.ca/restaurant/s6rr/7-eleven-eglinton-ave-e
7-Eleven - Elm,fried;chicken;essentials;pizza,https://www.foodora.ca/restaurant/s9bj/7-eleven-elm
7-Eleven - Erin Mills,fried;chicken;essentials;pizza,https://www.foodora.ca/restaurant/s1uj/7-eleven-erin-mills
7-Eleven - Haddington,fried;chicken;essentials;pizza,https://www.foodora.ca/restaurant/s0xo/7-eleven-haddington
7-Eleven - Humber,fried;chicken;essentials;pizza,https://www.foodora.ca/restaurant/s4qa/7-eleven-humber
7-Eleven - Islington Ave,fried;chicken;essentials;pizza,https://www.foodora.ca/restaurant/s5hp/7-eleven-islington-ave
7-Eleven - Lakeshore Blvd W,fried;chicken;essentials;pizza,https://www.foodora.ca/restaurant/s5un/7-eleven-lakeshore-blvd-w
7-Eleven - Yonge & Carlton,fried;chicken;essentials;pizza,https://www.foodora.ca/restaurant/t8ii/7-eleven-yonge-carlton
9 Bars Coffee,pasta;dessert;breakfast;sandwiches;latin;american,https://www.foodora.ca/restaurant/s4sq/9-bars-coffee
98 Aroma,spicy;asian;chinese,https://www.foodora.ca/restaurant/s6me/98-aroma
99 Sushi & Thai,fish;japanese;sushi,https://www.foodora.ca/restaurant/s3yj/99-sushi-thai
A&W - Bloor,fries;american;burgers,https://www.foodora.ca/restaurant/s2xv/a-w-bloor
A&W - Queen,fries;american;burgers,https://www.foodora.ca/restaurant/s5ka/a
A&W - Yonge,fries;burgers;american,https://www.foodora.ca/restaurant/s0ah/a-w-yonge
A+ Sushi & Bibim,asian;korean;sushi,https://www.foodora.ca/restaurant/s4oe/a-sushi
AAamazing Salad,salad;healthy;food,https://www.foodora.ca/restaurant/s4aq/aamazingsalad
Aanch - Modernistic Indian Cuisine,salad;soup;seafood;indian,https://www.foodora.ca/restaurant/s1nk/aanch-modernistic-indian-cuisine
Aburiyaki Sushi,meat;family;style;sushi;japanese,https://www.foodora.ca/restaurant/s8mj/aburiyaki-sushi
Acai Concept,vegan;juice-smoothie;coffee;breakfast;vegetarian,https://www.foodora.ca/restaurant/s0jt/acai-concept
Adams Philly Shack,fries;salad;burgers;sandwiches;american,https://www.foodora.ca/restaurant/s0nd/adams-philly-shack
Adams Shawarma,spicy;meat;mediterranean;middle;eastern,https://www.foodora.ca/restaurant/s2fd/adams-ghazale-wellesley
Adrianos Pizza,fish;meat;pasta;italian;seafood;vegetarian,https://www.foodora.ca/restaurant/s9ey/adrianos-pizza
Afghan Kebab,home;made;fingerfood;vegetarian;middle;eastern,https://www.foodora.ca/restaurant/s5fm/afghan-kebab
AfterDark,vegan;pasta;salad;noodles;fried;chicken,https://www.foodora.ca/restaurant/s2zx/afterdark
Airport Bukhara Fine Indian Cuisine,indian,https://www.foodora.ca/restaurant/s8qs/airport-bukhara-fine-indian-cuisine
Aji Sai Plus,meat;spicy;asian;sushi,https://www.foodora.ca/restaurant/s4hn/aji-sai-plus
Ajisen Ramen - Spadina,meat;seafood;asian,https://www.foodora.ca/restaurant/s9el/ajisen-ramen-spadina
Al Dhaaba,curry;indian,https://www.foodora.ca/restaurant/s6ex/al-dhaaba
Aladin Grill,fish;meat;pasta;salad;soup;dessert;burgers,https://www.foodora.ca/restaurant/s7oi/aladin-grill
Aleeza's Pizza,fries;meat;pasta;poutine;italian;pizza,https://www.foodora.ca/restaurant/s5wb/aleeza-s-pizza
Alexandria Falafel,fingerfood;salad;wrap-burritos;fried;chicken,https://www.foodora.ca/restaurant/s9yj/alexandria-falafel
Alexandros Take-Out - Church,meat;salad;greek,https://www.foodora.ca/restaurant/s1hq/alexandros-take-out-church
Alexandros Take-Out - Danforth,kebab;meat;salad;greek,https://www.foodora.ca/restaurant/s2bw/alexandros-take-out-danforth
Alexandros Take-Out - Queens Quay,kebab;meat;salad;greek,https://www.foodora.ca/restaurant/s2bq/alexandros-take-out-queens-quay
Alf Hana Shawarma Hut,falafel;salad;wrap-burritos;middle;eastern,https://www.foodora.ca/restaurant/s5ue/alf-hana-shawarma-hut
Ali Baba's - 4928 Dundas,meat;wrap-burritos;middle;eastern,https://www.foodora.ca/restaurant/s6vj/ali-baba-s-4928-dundas
Ali Baba's - Bloor,meat;wrap-burritos;platters;middle;eastern,https://www.foodora.ca/restaurant/s8ta/ali-baba-s-bloor
Ali Baba's - Queen,meat;wrap-burritos;platters;middle;eastern,https://www.foodora.ca/restaurant/s8tc/ali-baba-s-queen
Ali Baba's - Yonge,meat;wrap-burritos;platters;middle;eastern,https://www.foodora.ca/restaurant/s0fw/ali-baba-s-yonge
Ali's West Indian Roti Shop,halal;vegan;curry;meat;wrap-burritos;caribbean,https://www.foodora.ca/restaurant/s4qx/ali-s-west-indian-roti-shop
Alijandro's Kitchen,meat;taco;mediterranean;mexican;middle;eastern,https://www.foodora.ca/restaurant/s2dv/alijandro-s-kitchen
Allin Mikuna Soups Inc,soup;bakery & cafe;vegetarian,https://www.foodora.ca/restaurant/s1ni/allin-mikuna-soups-inc
Allwyn's Bakery,home;made;fingerfood;curry;caribbean,https://www.foodora.ca/restaurant/s0pc/allwyn-s-bakery
Allwyn's Bakery - Queen,home;made;fingerfood;curry;bakery & cafe,https://www.foodora.ca/restaurant/s4wm/allwyn-s-bakery-queen
Alternity - Elixir Lounge,wrap-burritos;healthy;food,https://www.foodora.ca/restaurant/s7bx/alternity-elixir-lounge
Amato Pizza,fingerfood;home;made;italian;pizza,https://www.foodora.ca/restaurant/s1ac/amato-pizza
Amaya Express - Sherway,spicy;vegetarian;indian,https://www.foodora.ca/restaurant/s1ex/amaya-express-sherway
Ambiyan: Authentic Indian Cuisine,meat;salad;dessert;seafood;vegetarian;indian,https://www.foodora.ca/restaurant/s9zc/ambiyan-on-yonge
Anatolian Pide House,canadian;middle;eastern,https://www.foodora.ca/restaurant/s4hj/anatolian-pide-house
Angus Pho House,meat;soup;noodles;asian,https://www.foodora.ca/restaurant/s2xx/angus-pho-house
Animal Liberation Kitchen (ALK),meat;salad;bbq;dessert;coffee;bakery;vegetarian,https://www.foodora.ca/restaurant/s7ty/animal-liberation-kitchen-alk
Anoush Shawarma & Grill,falafel;kebab;wrap-burritos;middle;eastern,https://www.foodora.ca/restaurant/s0si/anoush-shawarma
Anti Vice Juicery,juice-smoothie;healthy;food,https://www.foodora.ca/restaurant/b2nf/antivice
Aroma Espresso Bar - 220 Yonge St,breakfast;sandwiches;bakery & cafe,https://www.foodora.ca/restaurant/s8pf/aroma-espresso-bar-220-yonge-st
Aroma Espresso Bar - 3343 Yonge St,vegan;salad;soup;breakfast;healthy;food,https://www.foodora.ca/restaurant/s1jd/aroma-espresso-bar-3343-yonge-st
Aroma Espresso Bar - 430 King St W,bakery & cafe;breakfast;sandwiches,https://www.foodora.ca/restaurant/s6go/aroma-espresso-bar-430-king-st-w
Aroma Espresso Bar - Fairview Mall,bakery & cafe;breakfast;sandwiches,https://www.foodora.ca/restaurant/s8yg/aroma-espresso-bar-fairview-mall
Aroma Espresso Bar - Liberty Village,breakfast;sandwiches;bakery & cafe,https://www.foodora.ca/restaurant/q8pi/aroma-espresso-bar-liberty-village
Aroma Espresso Bar - Queens Quay,bakery & cafe;breakfast;sandwiches,https://www.foodora.ca/restaurant/v8ld/aromaespressobar-queens-quay
Aroma Espresso Bar - York University,salad;soup;breakfast;sandwiches;bakery & cafe,https://www.foodora.ca/restaurant/s2cv/aroma-espresso-bar-york-university
Aroma Fine Indian Cuisine,indian,https://www.foodora.ca/restaurant/s0vm/aroma-fine-indian-cuisine
Asahi Sushi,fish;meat;japanese;korean;sushi,https://www.foodora.ca/restaurant/s6yb/asahi-sushi
Asian King BBQ,meat;soup;noodles;asian,https://www.foodora.ca/restaurant/s8cb/asian-king-bistro
Assembli - Toronto,salad;pizza,https://www.foodora.ca/restaurant/s1ol/assembli-toronto
Aunty's Kitchen,fish;meat;middle;eastern;indian,https://www.foodora.ca/restaurant/s9ig/aunty-s-kitchen
Ave Maria Latin Cafe,gluten;free;home;made;latin;american,https://www.foodora.ca/restaurant/s3ph/ave-maria-latin-cafe
Avocado Sushi,fish;meat;salad;soup;platters;asian;seafood,https://www.foodora.ca/restaurant/s7mj/avocado-sushi
Azkadenya Mezza Diner,meat;middle;eastern,https://www.foodora.ca/restaurant/s7tt/azkadenya-mezza-diner
Azteca Restaurant,meat;wrap-burritos;sandwiches;mexican,https://www.foodora.ca/restaurant/s4ng/azteca-restaurant
B.Good - Yonge & Eglinton,vegan;meat;salad;juice-smoothie;breakfast,https://www.foodora.ca/restaurant/s8hm/b-good-yonge-eglinton
BANKNOTE - Corktown,pasta;salad;sandwiches;burgers,https://www.foodora.ca/restaurant/s4ja/banknote
BOAT King of Thai Noodles,curry;meat;salad;noodles;thai,https://www.foodora.ca/restaurant/s8gp/boat-king-of-thai-noodles
BPC CHICKEN,meat;salad;dessert;portuguese;sandwiches,https://www.foodora.ca/restaurant/s4sl/bpc-chicken
Babaz Shawarma - Pape (A Jackpot Brandz Kitchen),falafel;kebab;meat;salad;wrap-burritos,https://www.foodora.ca/restaurant/s8qc/babaz-shawarma-pape
Bacon Nation - Kensington,meat;breakfast;canadian,https://www.foodora.ca/restaurant/s1yi/bacon-nation-kensington
Bagel Time,bagel;sandwiches;american,https://www.foodora.ca/restaurant/s5vx/bagel-time
Bagel Time - Bloor St.,gluten;free;meat;salad;bagel;sandwiches,https://www.foodora.ca/restaurant/s3tc/bagel-time-bloor-st
Baguette & Co.,dumplings;salad;sandwiches,https://www.foodora.ca/restaurant/s5rp/baguette-co
Bairrada Churrasqueira - College St.,meat;portuguese,https://www.foodora.ca/restaurant/s1in/bairrada-churrasqueira-college-st
Bairrada Churrasqueira - Dundas St.,meat;portuguese,https://www.foodora.ca/restaurant/s6wm/bairrada-churrasqueira-dundas-st
Bairrada Churrasqueira - Mississauga,fish;meat;sandwiches;seafood;portuguese,https://www.foodora.ca/restaurant/s8sz/bairrada-churrasqueira
Bairrada Churrasqueira - St.Clair,meat;salad;portuguese,https://www.foodora.ca/restaurant/s2gj/bairrada-churrasqueira-st-clair
Baker Pizza,meat;italian;vegetarian;pizza,https://www.foodora.ca/restaurant/s1ii/baker-pizza
Baker Pizza - Queen,meat;italian;vegetarian;pizza,https://www.foodora.ca/restaurant/s3ff/baker-pizza-queen
Bakers Calzone - Queen,meat;pasta;juice-smoothie;bbq;dessert,https://www.foodora.ca/restaurant/s2ga/bakers-calzone-queen
Baklawa King - Dundas,dessert;greek;mediterranean;bakery & cafe,https://www.foodora.ca/restaurant/s2ik/baklawa-king-dundas
Baklawa King - Eglinton,dessert;middle;eastern;bakery & cafe,https://www.foodora.ca/restaurant/s2ci/baklawa-king
Baldini Restaurant,pasta;salad;italian,https://www.foodora.ca/restaurant/s4yu/baldini-restaurant
Bangkok Buri - Union,asian;vegetarian;thai,https://www.foodora.ca/restaurant/s4py/bangkok-buri-union
Bangkok Garden,asian;thai,https://www.foodora.ca/restaurant/s3zs/bangkok-garden
Bangkok Vegetarian,meat;noodles;thai,https://www.foodora.ca/restaurant/s5ov/bangkok-vegetarian
Bangku Filipino Cuisine By Rosslax,meat;asian,https://www.foodora.ca/restaurant/s5yb/bangku-filipino-cuisine-by-rosslax
Banh Mi Boys - Eglinton,spicy;asian;sandwiches,https://www.foodora.ca/restaurant/s0qx/banh-mi-boys-eglinton
Banh Mi Boys - Queen,fingerfood;sandwiches;vietnamese,https://www.foodora.ca/restaurant/a9si/banhmiboys-queen
Banh Mi Boys - Yonge,fingerfood;sandwiches;vietnamese,https://www.foodora.ca/restaurant/w1dw/banhmiboys-yonge
Banh Mi Boys - York University,fingerfood;sandwiches;vietnamese,https://www.foodora.ca/restaurant/s0nh/banh-mi-boys-york-university
Banh Mi T.O.,vegan;curry;meat;soup;noodles;asian;healthy;food,https://www.foodora.ca/restaurant/s2ho/banh-mi-t-o
Banjara,fish;meat;juice-smoothie;dessert;vegetarian,https://www.foodora.ca/restaurant/s0lm/banjara
Bar Hop Session,salad;fried;chicken;burgers;vegetarian;canadian,https://www.foodora.ca/restaurant/s0lb/bar-hop-session
BarBQ Tonite Restaurant,spicy;curry;meat;bbq;vegetarian;indian,https://www.foodora.ca/restaurant/s3dm/barbq-tonite-restaurant
BarBurrito - 2575 St Clair,fingerfood;fish;meat;taco;wrap-burritos,https://www.foodora.ca/restaurant/s0mv/barburrito-2575-st-clair
BarBurrito - College,meat;salad;taco;wrap-burritos;mexican,https://www.foodora.ca/restaurant/s8zc/barburrito-college
BarBurrito - Dufferin,meat;salad;taco;wrap-burritos;vegetarian,https://www.foodora.ca/restaurant/s2kd/barburrito-dufferin
BarBurrito - North York,meat;salad;taco;wrap-burritos;mexican,https://www.foodora.ca/restaurant/s1vl/barburrito-north-york
BarBurrito - South Service Rd.,meat;salad;taco;wrap-burritos;vegetarian,https://www.foodora.ca/restaurant/s0ok/bar-burrito-south-service-rd
Barburrito - Lawrence,fingerfood;fish;meat;taco;wrap-burritos,https://www.foodora.ca/restaurant/s9vq/barburrito-lawrence
Baro,mexican;spanish;latin;american,https://www.foodora.ca/restaurant/s7om/baro
Barrio Coreano,taco;korean;mexican,https://www.foodora.ca/restaurant/l4bg/playacabana-barrio-coreano
Basil Box - Bathurst & College,gluten;free;thai;vietnamese;asian,https://www.foodora.ca/restaurant/s8pj/basil-box-bathurst-college
Basil Box - Queen,gluten;free;asian;thai;vietnamese,https://www.foodora.ca/restaurant/s8yk/basil-box-queen
Basil Box - Ryerson,gluten;free;vietnamese;thai,https://www.foodora.ca/restaurant/s3kd/basil-box-ryerson
Basil Box - Square One,gluten;free;thai;vietnamese,https://www.foodora.ca/restaurant/s6gf/basil-box-square-one
Basil Box - Yonge & Finch,gluten;free;thai;vietnamese;healthy;food,https://www.foodora.ca/restaurant/s2mb/basil-box-north-york
Basil Box - Yonge & King,gluten;free;vegan;thai;vegetarian;vietnamese,https://www.foodora.ca/restaurant/s6kx/basil-box-yonge-king
Basil Box - Yonge & Sheppard,gluten;free;meat;vietnamese;thai,https://www.foodora.ca/restaurant/s7xi/basil-box-yonge-sheppard
Basil Box - York U,gluten;free;meat;healthy;food;vegetarian,https://www.foodora.ca/restaurant/s6ni/basil-box-york-u
Batch House,salad;pub;fare;burgers,https://www.foodora.ca/restaurant/s8rs/batch-house
Beauty Barbecue and Smokehouse,meat;american,https://www.foodora.ca/restaurant/s6yt/beauty-barbecue-and-smokehouse
Bebo's Authentic,pancakes-crépes;breakfast,https://www.foodora.ca/restaurant/s6vi/bebo-s-authentic
Bellafornia Restaurant & Bar,meat;salad;american,https://www.foodora.ca/restaurant/s5bx/bellafornia-restaurant-bar
Best Istanbul Restaurant - North York,kebab;meat;salad;juice-smoothie;soup,https://www.foodora.ca/restaurant/s3aw/best-istanbul-restaurant-north-york
Best Istanbul Restaurant- Augusta,falafel;kebab;meat;salad;soup;wrap-burritos,https://www.foodora.ca/restaurant/s1gu/best-istanbul-restaurant-augusta
Beverages To-Go,juice-smoothie;bakery & cafe,https://www.foodora.ca/restaurant/s3vj/beverages-to-go
Beverages To-Go - Queen,juice-smoothie;bakery & cafe,https://www.foodora.ca/restaurant/s6cf/beverages-to-go-queen
Bhoj,spicy;curry;indian,https://www.foodora.ca/restaurant/a1cg/bhoj
Big Bowl Stir Fry,vegan;meat;salad;juice-smoothie;soup,https://www.foodora.ca/restaurant/s2nj/big-bowl-stir-fry
Big Poppa’s Vegan,vegan;vegetarian;burgers,https://www.foodora.ca/restaurant/s8py/big-poppa-s
Big Smoke Burger - King East,fries;poutine;american;burgers,https://www.foodora.ca/restaurant/s8rq/big-smoke-burger-king-east
Big Smoke Burger - King West,fries;poutine;american;burgers,https://www.foodora.ca/restaurant/s9wy/big-smoke-burger
Big Trouble Pizza,foodora;exclusive;pizza,https://www.foodora.ca/restaurant/s7dm/big-trouble-pizza
Big Trouble Pizza - Annex,meat;foodora;exclusive;vegetarian;pizza,https://www.foodora.ca/restaurant/s4ox/big-trouble-pizza-annex
Bigman's Pizza,pasta;italian;pizza;sandwiches,https://www.foodora.ca/restaurant/s2qv/bigman-s-pizza
Bikkuri Japanese Restaurant - King,asian;japanese;sushi,https://www.foodora.ca/restaurant/s7xx/bikkuri-japanese-restaurant-king
Bikkuri Japanese Restaurant - Queen,japanese;sushi,https://www.foodora.ca/restaurant/s4fd/bikkuri-japanese-restaurant-queen
Bindia Indian Bistro,meat;soup;indian,https://www.foodora.ca/restaurant/s9ft/bindia-indian-bistro
Birdhouse Fried Chicken,fries;meat;fried;chicken;poutine;canadian,https://www.foodora.ca/restaurant/s3xx/birdhouse-fried-chicken
Bismillah Halal Express,curry;meat;dessert;vegetarian;indian,https://www.foodora.ca/restaurant/s2iy/bismillah-halal-express
Bistro In a Box,halal;home;made;fingerfood;meat;salad,https://www.foodora.ca/restaurant/s1el/bistro-in-a-box
