Name,Cuisine,Coordinate
120 Diner,american;burgers;canadian;sandwiches,"(43.652187, -79.375679)"
2 Bros Cuisine,falafel;fries;kebab;meat;salad;juice-smoothie,"(43.692813, -79.531907)"
241 Pizza - Danforth,meat;salad;pizza,"(43.687114, -79.307212)"
60BEANS,bagel;sandwiches;bakery & cafe,"(43.651957, -79.449335)"
6Boss Caribbean Jerk,meat;caribbean,"(43.803717, -79.419232)"
7 West Cafe,american;burgers;canadian;pizza;sandwiches,"(43.668518, -79.386734)"
7-Eleven - Bloor,fried;chicken;essentials;pizza,"(43.666769, -79.404122)"
7-Eleven - Downsview,fried;chicken;essentials;pizza,"(43.720439, -79.513728)"
7-Eleven - Dundas (3355),fried;chicken;essentials;pizza,"(43.665283, -79.482385)"
7-Eleven - Eglinton Ave E,fried;chicken;essentials;pizza,"(43.706579, -79.39785)"
7-Eleven - Elm,fried;chicken;essentials;pizza,"(43.657245, -79.381519)"
7-Eleven - Erin Mills,fried;chicken;essentials;pizza,"(43.585464, -79.741491)"
7-Eleven - Haddington,fried;chicken;essentials;pizza,"(43.732625, -79.432491)"
7-Eleven - Humber,fried;chicken;essentials;pizza,"(43.597333, -79.523188)"
7-Eleven - Islington Ave,fried;chicken;essentials;pizza,"(43.6299, -79.518013)"
7-Eleven - Lakeshore Blvd W,fried;chicken;essentials;pizza,"(43.613282, -79.489986)"
7-Eleven - Yonge & Carlton,fried;chicken;essentials;pizza,"(43.661241, -79.382813)"
9 Bars Coffee,pasta;dessert;breakfast;sandwiches;latin;american,"(43.688726, -79.391974)"
98 Aroma,spicy;asian;chinese,"(43.657009, -79.399971)"
99 Sushi & Thai,fish;japanese;sushi,"(43.707697, -79.394953)"
A&W - Bloor,fries;american;burgers,"(43.659966, -79.434746)"
A&W - Queen,fries;american;burgers,"(43.646973, -79.406532)"
A&W - Yonge,fries;burgers;american,"(43.715211, -79.400008)"
A+ Sushi & Bibim,asian;korean;sushi,"(43.640766, -79.434235)"
AAamazing Salad,salad;healthy;food,"(43.655289, -79.399872)"
Aanch - Modernistic Indian Cuisine,salad;soup;seafood;indian,"(43.644688, -79.390709)"
Aburiyaki Sushi,meat;family;style;sushi;japanese,"(43.802619, -79.420186)"
Acai Concept,vegan;juice-smoothie;coffee;breakfast;vegetarian,"(43.651557, -79.409164)"
Adams Philly Shack,fries;salad;burgers;sandwiches;american,"(43.723395, -79.416342)"
Adams Shawarma,spicy;meat;mediterranean;middle;eastern,"(43.665901, -79.380455)"
Adrianos Pizza,fish;meat;pasta;italian;seafood;vegetarian,"(43.59623, -79.525072)"
Afghan Kebab,home;made;fingerfood;vegetarian;middle;eastern,"(43.689201, -79.296265)"
AfterDark,vegan;pasta;salad;noodles;fried;chicken,"(43.645754, -79.410465)"
Airport Bukhara Fine Indian Cuisine,indian,"(43.706311, -79.647609)"
Aji Sai Plus,meat;spicy;asian;sushi,"(43.667445, -79.385551)"
Ajisen Ramen - Spadina,meat;seafood;asian,"(43.653884, -79.398839)"
Al Dhaaba,curry;indian,"(43.609193, -79.696979)"
Aladin Grill,fish;meat;pasta;salad;soup;dessert;burgers,"(43.655844, -79.455761)"
Aleeza's Pizza,fries;meat;pasta;poutine;italian;pizza,"(43.698428, -79.512168)"
Alexandria Falafel,fingerfood;salad;wrap-burritos;fried;chicken,"(43.641685, -79.430149)"
Alexandros Take-Out - Church,meat;salad;greek,"(43.661182, -79.378944)"
Alexandros Take-Out - Danforth,kebab;meat;salad;greek,"(43.678339, -79.348639)"
Alexandros Take-Out - Queens Quay,kebab;meat;salad;greek,"(43.641476, -79.375259)"
Alf Hana Shawarma Hut,falafel;salad;wrap-burritos;middle;eastern,"(43.580548, -79.757717)"
Ali Baba's - 4928 Dundas,meat;wrap-burritos;middle;eastern,"(43.648431, -79.52926)"
Ali Baba's - Bloor,meat;wrap-burritos;platters;middle;eastern,"(43.651156, -79.477388)"
Ali Baba's - Queen,meat;wrap-burritos;platters;middle;eastern,"(43.64103, -79.435278)"
Ali Baba's - Yonge,meat;wrap-burritos;platters;middle;eastern,"(43.713199, -79.399537)"
Ali's West Indian Roti Shop,halal;vegan;curry;meat;wrap-burritos;caribbean,"(43.64085, -79.435965)"
Alijandro's Kitchen,meat;taco;mediterranean;mexican;middle;eastern,"(43.587688, -79.644884)"
Allin Mikuna Soups Inc,soup;bakery & cafe;vegetarian,"(43.598139, -79.544057)"
Allwyn's Bakery,home;made;fingerfood;curry;caribbean,"(43.760132, -79.412154)"
Allwyn's Bakery - Queen,home;made;fingerfood;curry;bakery & cafe,"(43.648713, -79.397123)"
Alternity - Elixir Lounge,wrap-burritos;healthy;food,"(43.667094, -79.400478)"
Amato Pizza,fingerfood;home;made;italian;pizza,"(43.660381, -79.382492)"
Amaya Express - Sherway,spicy;vegetarian;indian,"(43.611794, -79.557075)"
