Hood #,Hood Name,Repr Addr,
1,West Humber-Clairville,"7498 Sigsbee Dr, Mississauga, ON L4T 3S6",
2,Mount Olive-Silverstone-Jamestown,"84 Stevenson Rd, Etobicoke, ON M9V 2B5, Canada",
3,Thistletown-Beaumond Heights,"25 Sandhill Dr, Etobicoke, ON M9V 2Y3, Canada",
4,Rexdale-Kipling,"145 Clearbrooke Cir, Etobicoke, ON M9W 2G2, Canada",
5,Elms-Old Rexdale,"35 Shendale Dr, Etobicoke, ON M9W 2B4, Canada",
6,Kingsview Village-The Westway,"24 St Andrews Blvd, Etobicoke, ON M9R 1V8, Canada",
7,Willowridge-Martingrove-Richview,"2 Holbeach Rd, Etobicoke, ON M9W 3K3, Canada",
8,Humber Heights-Westmount,"44 Crane Ave, Etobicoke, ON M9P 1V2, Canada",
9,Edenbridge-Humber Valley,"46 Edenbridge Dr, Etobicoke, ON M9A 3G1, Canada",
10,Princess-Rosethorn,"68 Prince George Dr, Etobicoke, ON M9A 1Y6, Canada",
11,Eringate-Centennial-West Deane,"109 Richland Crescent, Etobicoke, ON M9C 4C5, Canada",
12,Markland Wood,"56 Bearbury Dr, Etobicoke, ON M9C 2G9, Canada",
13,Etobicoke West Mall,"583 Burnhamthorpe Rd, Etobicoke, ON M9C 2Y3, Canada",
14,Islington-City Centre West,"2 Cancara Gate, Etobicoke, ON M9B 6G6, Canada",
15,Kingsway South,"48 Strath Ave, Etobicoke, ON M8X 1R3, Canada",
16,Stonegate-Queensway,"26 Smithfield Dr, Etobicoke, ON M8Y 3M2, Canada",
17,Mimico (includes Humber Bay Shores),"145 Portland St, Etobicoke, ON M8Y 1B1, Canada",
18,New Toronto,"44 Garnett Janes Rd, Etobicoke, ON M8V 4G6, Canada",
19,Long Branch,"46 Thirty Fifth St, Etobicoke, ON M8W 3K2, Canada",
20,Alderwood,"151 Hallmark Ave, Etobicoke, ON M8W 4K9, Canada",
21,Humber Summit,"166 Toryork Dr, North York, ON M9L 1X6, Canada",
22,Humbermede,"3 Imogene Ave, North York, ON M9M 1N5, Canada",
23,Pelmo Park-Humberlea,"86 Aura Lea Blvd, North York, ON M9M 1K5, Canada",
24,Black Creek,"23 Parson Ct, North York, ON M6M 4Z9, Canada",
25,Glenfield-Jane Heights,"2943 Major MacKenzie Dr W, Maple, ON L6A 1C6, Canada",
26,Downsview-Roding-CFB,"611 Roding St, North York, ON M3M 2A6, Canada",
27,York University Heights,"3929 Keele St, North York, ON M3J 1N6, Canada",
28,Rustic,"35 Liscombe Rd, North York, ON M6L 3A3, Canada",
29,Maple Leaf,,
30,Brookhaven-Amesbury,"25 Martha Eaton Way, North York, ON M6M 5B7, Canada",
31,Yorkdale-Glen Park,"2900 Dufferin St, North York, ON M6B 3S8, Canada",
32,Englemount-Lawrence,"42 Ridgevale Dr, North York, ON M6A 1K8, Canada",
33,Clanton Park,"86 Laurelcrest Ave, North York, ON M3H 2A9, Canada",
34,Bathurst Manor,"124 Combe Ave, North York, ON M3H 4K1, Canada",
35,Westminster-Branson,"56 Antibes Dr, North York, ON M2R 3K5, Canada",
36,Newtonbrook West,"10 Antibes Dr, North York, ON M2R 3K3, Canada",
37,Willowdale West,"6012 Yonge St, North York, ON M2M 3V9, Canada",
38,Lansing-Westgate,"160 Pewter Rd, North York, ON M2N 1H3, Canada",
39,Bedford Park-Nortown,"245 Fairlawn Ave, Brookdale Park, Toronto, ON M5M 1T2, Canada",
40,St. Andrew-Windfields,"15 Berkindale Crescent, North York, ON M2L 2A3, Canada",
41,Bridle Path-Sunnybrook-York Mills,"Bridle Path, Toronto, ON, Canada","43.735707, -79.373749"
42,Banbury-Don Mills,"220 Banbury Rd, North York, ON M3B 3C5, Canada",
43,Victoria Village,"7 Gretna Ave, North York, ON M4A 2H5, Canada",
44,Flemingdon Park,"9 Grenoble Dr, North York, ON M3C 1C3, Canada",
45,Parkwoods Donalda,"65 Avonwick Gate, North York, ON M3A 2M8, Canada",
46,Pleasant View,"175 Brian Dr, North York, ON M2J 3Y8, Canada",
47,Don Valley Village,"3075 Don Mills Rd, North York, ON M2J 3C2, Canada",
