Name,Cuisine,Coordinate
100% Salvadoreno Restaurant & Take Out,Mexican;Péruvien;Fait-maison;Breakfast & Brunch;Tacos;Mexicain;Déjeuner et brunch;Peruvian;Homemade;International,"(43.69715748862099, -79.494156682209)"
1298 Sushi,Vegetarian;Seafood;Sushis;Noodle Shop;Japanese;Asiatique;Asian;Japonais;Nouilles;Fruits de mer;Végétarien;Sushi;International,"(43.837313312, -79.0902620656)"
168 Sushi Buffet,Japonais;Fait-maison;Nouilles;Fruits de mer;Seafood;Sushis;Sushi;Noodle Shop;Japanese;Asiatique;Asian;Homemade,"(43.7874663855, -79.4716251079)"
168 Sushi Buffet,Seafood;Sushis;Santé;Japanese;Asiatique;Asian;BBQ;Japonais;Fait-maison;Wings;Poulet;Fruits de mer;Ailes;Chicken;Sushi;Barbecue;Healthy;Homemade;International,"(43.5297611, -79.6731455)"
168 Sushi Japan Buffet,Coréen;Vegetarian;Korean;Santé;Noodle Shop;Japanese;Asiatique;Asian;Japonais;Fait-maison;Nouilles;Poulet;Thaïlandais;Chinese;Végétarien;Chicken;Thai;Chinois;Healthy;Homemade;International,"(43.6819021, -79.7288954)"
2 Bros Cuisine,Canadian;$10 Lunch;Santé;Desserts;Dessert;Mediterranean;Méditerranéen;Poulet;Middle Eastern;Canadien;Chicken;Moyen-Oriental;Donair;Healthy;Diner 10$;International,"(43.6926127531, -79.5318504921)"
24Seven Lounge & Restaurant,Unspecified,"(43.73112333698708, -79.601198548024)"
3 Asians Express,Noodle Shop;Japanese;Asiatique;Asian;Japonais;Wings;Poulet;Nouilles;Thaïlandais;Ailes;Chinese;Chicken;Thai;Chinois;International,"(43.6441861533, -79.6340165405)"
3 Castelos Grill House,Fait-maison;Poulet;Fruits de mer;Seafood;Chicken;Homemade;International,"(43.6017773, -79.5916502)"
3 For 2 Pizza & Wings,Pizza;Sandwichs et sous-marins;Poulet;Canadian;$10 Lunch;Canadien;Chicken;Sandwiches & Subs;Diner 10$,"(43.5987947, -79.6606157)"
3030,American;Canadian;Burgers;Pizza;Souper;Fait-maison;Wings;Poulet;Ailes;Pub Food;Bistro;Vietnamese;Canadien;Diner;Chicken;Hamburgers;Vietnamien;Américain;Fusion;Homemade;International,"(43.6658788, -79.47043239999999)"
32 Chicken St.,Fait-maison;Poulet;Burgers;Fast Food;Chicken;Prêt-à-manger;Hamburgers;Homemade,"(43.6563673, -79.4065093)"
369 Mazel Inc.,Hot dogs et saucisses;American;Burgers;Poisson-frites;Asiatique;Asian;Poulet;Fish and Chips;Hot Dogs & Sausages;Chicken;Hamburgers;Américain;Fusion,"(43.6871826, -79.3070536)"
39 Spices,Poulet;Middle Eastern;Fruits de mer;Vegetarian;Seafood;Indian;Végétarien;Chicken;Desserts;Indien;Dessert;Moyen-Oriental,"(43.8754868, -79.2597565)"
418 Chilli,Vegetarian;Organic;Seafood;Santé;Noodle Shop;Locally Sourced;Poulet;Nouilles;Fruits de mer;Chinese;Source locale;Végétarien;Chicken;Chinois;Biologique;Healthy,"(43.6562928, -79.3997793)"
5 Noodles,Poulet;Nouilles;Fruits de mer;Seafood;Chinese;Chicken;Chinois;Noodle Shop;Asiatique;Asian,"(43.5773649, -79.6205135)"
5 Spice Dining,Poulet;Vegetarian;Indian;Végétarien;Chicken;Desserts;Indien;Dessert;International,"(43.8229959, -79.2485509)"
6IXTRIANGLES,Poulet;Vegetarian;$10 Lunch;Indian;Végétarien;Chicken;Indien;Diner 10$;International,"(43.639513, -79.4218402)"
7 Numbers,Italian;Vegetarian;Seafood;Européen;Desserts;European;Dessert;Mediterranean;Locally Sourced;Méditerranéen;Fait-maison;Fruits de mer;Source locale;Végétarien;Pasta;Homemade;Italien;International;Pâtes,"(43.7036528, -79.4136744)"
7 Numbers,Mediterranean;Italian;Méditerranéen;Pasta;Italien;International;Pâtes,"(43.6769587, -79.3538463)"
7 West Cafe,Sandwichs et sous-marins;Italian;Breakfast & Brunch;Ice Cream & Frozen Treats;Lunch;Pizza;Fait-maison;Poulet;Crèmerie;Ben & Jerry's;Chicken;Déjeuner et brunch;Sandwiches & Subs;Dîner;Homemade;Italien,"(43.6684874, -79.3867143)"
817 Sports Bar & Grill,Sandwichs et sous-marins;Italian;Canadian;Burgers;Poisson-frites;Santé;Pizza;Souper;Wings;Poulet;Ailes;Fish and Chips;Tacos;Pub Food;Canadien;Chicken;Pasta;Sandwiches & Subs;Hamburgers;Healthy;Italien;Pâtes,"(43.6460095, -79.4091212)"
876JamRock Restaurant,Ice Cream & Frozen Treats;Seafood;$10 Lunch;BBQ;Fait-maison;Poulet;Crèmerie;Fruits de mer;Ben & Jerry's;Chicken;Barbecue;Fusion;Homemade;Diner 10$;International,"(43.7426581, -79.5895689)"
977 Cafe Chinese,Vegetarian;Seafood;Noodle Shop;Asiatique;Asian;Wings;Nouilles;Poulet;Fruits de mer;Ailes;Chinese;Végétarien;Chicken;Chinois;International,"(43.7084627, -79.3102452)"
99 Sushi & Thai,Vegetarian;Seafood;Sushis;Japanese;Asiatique;Asian;Japonais;Poulet;Fruits de mer;Thaïlandais;Végétarien;Chicken;Sushi;Thai;International,"(43.7080524, -79.3932104)"
A Dark Horse,Sandwichs et sous-marins;Wings;Poulet;Breakfast & Brunch;Ailes;Burgers;Chicken;Déjeuner et brunch;Sandwiches & Subs;Hamburgers;International,"(43.649414, -79.4830628)"
A La Turk,Fait-maison;Middle Eastern;Fast Food;Prêt-à-manger;Moyen-Oriental;Homemade;International,"(43.7336221, -79.4041612)"
