Name,Cuisine,URL
1298 Sushi,Japanese,https://www.ubereats.com/en-CA/toronto/food-delivery/1298-sushi/YbIUVseEQjCk0F8proxZeg
2 Bros Cuisine,Comfort Food;Mediterranean;Halal,https://www.ubereats.com/en-CA/toronto/food-delivery/2-bros-cuisine/-R4lIl9CQo-H4WExuRylvQ
7 West Cafe,Breakfast and Brunch;Desserts;Comfort Food,https://www.ubereats.com/en-CA/toronto/food-delivery/7-west-cafe/6UA8VPyMR2CoMji5s9woEw
7-Eleven (1260 Dundas St W),Wings;Pizza;Comfort Food,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-1260-dundas-st-w/GtQ2LiRSRn25uiC4-NWvrg
7-Eleven (1718A Wilson Ave @ Dallner),Wings;Pizza;Comfort Food,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-1718a-wilson-ave-%40-dallner/Y_V-SLTmQmCdnKehukXLkg
7-Eleven (1730 Bloor St W),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-1730-bloor-st-w/cMY0GyIzTva2zjngh7f_Hw
7-Eleven (2067 Rutherford Rd @ Westburne),Wings;Pizza;Comfort Food,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-2067-rutherford-rd-%40-westburne/BH9o_GzeSkCW2BFqS8XfwA
7-Eleven (2480 Lakeshore Blvd W @ Allen),Wings;Pizza;Comfort Food,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-2480-lakeshore-blvd-w-%40-allen/MQuhS8-nSz-Rh9HragaA_g
7-Eleven (260 College St),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-260-college-st/wnC-QnCJRlu8dqqEpT0Sbw
7-Eleven (3260 Lakeshore Blvd W),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-3260-lakeshore-blvd-w/TahhU1upSIyAhHcKp8WlVA
7-Eleven (328 Yonge St),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-328-yonge-st/_sD6-7IKSkGRdP39gIcerw
7-Eleven (3355 Dundas St W),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-3355-dundas-st-w/8MwO8knZSsi6M5lychqLpA
7-Eleven (3587 Bathurst St),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-3587-bathurst-st/4ICRXA04Rxa8Sxv3FVg1mA
7-Eleven (3711 Rutherford Rd),Wings;Pizza;Comfort Food,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-3711-rutherford-rd/ZsNL8H_2TwChqEc5EabCkg
7-Eleven (372 Bay Street @ Richmond),Wings;Pizza;Comfort Food,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-372-bay-street-%40-richmond/vpLYwxOFQy2Vjg1302A8_g
"7-Eleven (6145 Viscount Rd, Value Park Garage)",Wings;Pizza;Comfort Food,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-6145-viscount-rd-value-park-garage/XOyo2gAtR0anIQEzru6nNQ
7-Eleven (704 Kingston Rd @ Whites),Wings;Pizza;Comfort Food,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-704-kingston-rd-%40-whites/3PBbSn7RRIef3BiRflF5iQ
7-Eleven (873 Queen Street W),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-873-queen-street-w/P-jfxMZtR2-uvFDP5n378Q
7-Eleven (980 Islington Ave),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-980-islington-ave/OFlErsA6TMSaAM2L-bzkjA
"7-Eleven (Unit 7, 1033 Bay St)",Wings;Pizza;Comfort Food,https://www.ubereats.com/en-CA/toronto/food-delivery/7-eleven-unit-7-1033-bay-st/ahJGeKZbS3mQSqYMcBHDiQ
A Slice of Cheesecake Heaven,Desserts;Vegetarian;Coffee and Tea,https://www.ubereats.com/en-CA/toronto/food-delivery/a-slice-of-cheesecake-heaven/3F-u0jiTQf-j9RTJFwdWyg
A&W,Burgers;American;Sandwiches,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w/b0Pa_GvDR0Ch-Bq9yx76pg
A&W (1115 Bloor St West),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-1115-bloor-st-west/eV7vnF5kRgOf9Il3hVU5OQ
A&W (1355 Kingston Rd),Burgers;American;Sandwiches,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-1355-kingston-rd/ktP7t0hZRaOg9zzkMtfyeg
A&W (1496 Queen Street),Burgers;American,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-1496-queen-street/WWfyNZoUSzuUxUnB0GPN2w
A&W (1638 Avenue Road),Burgers;Fast Food;Comfort Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-1638-avenue-road/fQnaUfsxSIKkbI6f-rtpqQ
