Name,Cuisine,Coordinate
1298 Sushi,Japanese,"(43.8373907, -79.09049809999999)"
2 Bros Cuisine,Comfort Food;Mediterranean;Halal,"(43.6928, -79.5318)"
7 West Cafe,Breakfast and Brunch;Desserts;Comfort Food,"(43.6684707, -79.3867008)"
7-Eleven (1260 Dundas St W),Wings;Pizza;Comfort Food,"(43.6497538, -79.4245662)"
7-Eleven (1718A Wilson Ave @ Dallner),Wings;Pizza;Comfort Food,"(43.7204314, -79.5137432)"
7-Eleven (1730 Bloor St W),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,"(43.6550763, -79.45939849999999)"
7-Eleven (2067 Rutherford Rd @ Westburne),Wings;Pizza;Comfort Food,"(43.83754889999999, -79.502416)"
7-Eleven (2480 Lakeshore Blvd W @ Allen),Wings;Pizza;Comfort Food,"(43.6130836, -79.4900519)"
7-Eleven (260 College St),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,"(43.6582426, -79.3997016)"
7-Eleven (3260 Lakeshore Blvd W),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,"(43.5972874, -79.5230093)"
7-Eleven (328 Yonge St),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,"(43.6572544, -79.3814688)"
7-Eleven (3355 Dundas St W),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,"(43.6652661, -79.4824067)"
7-Eleven (3587 Bathurst St),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,"(43.7326114, -79.43249089999999)"
7-Eleven (3711 Rutherford Rd),Wings;Pizza;Comfort Food,"(43.8258775, -79.5542689)"
7-Eleven (372 Bay Street @ Richmond),Wings;Pizza;Comfort Food,"(43.6509626, -79.38142239999999)"
"7-Eleven (6145 Viscount Rd, Value Park Garage)",Wings;Pizza;Comfort Food,"(43.6911579, -79.6158264)"
7-Eleven (704 Kingston Rd @ Whites),Wings;Pizza;Comfort Food,"(43.819792, -79.1152662)"
7-Eleven (873 Queen Street W),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,"(43.6455191, -79.41087619999999)"
7-Eleven (980 Islington Ave),Bakery;Comfort Food;Ice Cream and Frozen Yogurt;Juice Bars;pizza;wings,"(43.6291759, -79.5173978)"
"7-Eleven (Unit 7, 1033 Bay St)",Wings;Pizza;Comfort Food,"(43.6659915, -79.3875477)"
A Slice of Cheesecake Heaven,Desserts;Vegetarian;Coffee and Tea,"(43.65381929999999, -79.40149819999999)"
A&W,Burgers;American;Sandwiches,"(43.5975184, -79.5211648)"
A&W (1115 Bloor St West),Burgers;American;Fast Food,"(43.659808, -79.434654)"
A&W (1355 Kingston Rd),Burgers;American;Sandwiches,"(43.8361864, -79.08604150000001)"
A&W (1496 Queen Street),Burgers;American,"(43.640617, -79.437813)"
A&W (1638 Avenue Road),Burgers;Fast Food;Comfort Food,"(43.725885, -79.417124)"
A&W (2625 Yonge),Burgers;Fast Food;Canadian,"(43.715273, -79.399798)"
A&W (4841 Yonge Street),Burgers;American;Sandwiches,"(43.7625088, -79.4105316)"
A&W (500 Bloor Street West),Fast Food;Burgers;Canadian,"(43.665505, -79.410272)"
A&W (650 Queen Street TO),American;Burgers;Fast Food,"(43.646971, -79.406536)"
A&W (6775 Airport Rd),Fast Food;Burgers,"(43.700123, -79.637463)"
