Name,Address,Cusine
Gyubee Japanese Grill - Dundas,157 Dundas St W,Japanese; Barbeque
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Olive + Lemon,3604 Major MacKenzie Dr W,Seafood; Pizza; Italian
Pai Northern Thai Kitchen,18 Duncan Street,Thai
Seven Lives Tacos Y Mariscos,69 Kensington Avenue,Mexican
KINKA IZAKAYA ORIGINAL,398 Church St,Japanese; Pubs
Banh Mi Boys,392 Queen Street W,Vietnamese; Sandwiches
Richmond Station,1 Richmond Street W,Canadian (New)
Byblos,11 Duncan Street,Mediterranean; Middle Eastern
Bang Bang Ice Cream and Bakery,93a Ossington Avenue,Desserts; Ice Cream & Frozen Yogurt
Khao San Road,11 Charlotte Street,Thai
Ramen Isshin,421 College Street,Ramen
Blaze Fast-Fire’d Pizza,10 Dundas Street East,Pizza; Salad; Fast Food
Flame Food+Design,2197 Bloor Street W,Canadian (New); Turkish
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Spice Club Indian Cuisine,4532 Kingston Road,Indian
Pearl Diver,100 Adelaide Street E,Seafood; Comfort Food; Breakfast & Brunch
Fahrenheit Coffee,120 Lombard Avenue,Coffee & Tea
The Stockyards,699 St. Clair Avenue W,American (Traditional); Barbeque; Burgers
Mildred’s Temple Kitchen,85 Hanna Avenue,Breakfast & Brunch; Canadian (New)
Ripley’s Aquarium of Canada,288 Bremner Blvd,Aquariums
Scaramouche Restaurant Pasta Bar & Grill,1 Benvenuto Place,French; Bars
JaBistro,222 Richmond Street W,Japanese; Sushi Bars
Lee Restaurant,601 King Street W,Asian Fusion
Katsuya,66 Gerrard Street E,Japanese; Asian Fusion
Hokkaido Ramen Santouka,91 Dundas Street E,Ramen; Noodles
Dönerland,217 Roncesvalles Avenue,Kebab; Mediterranean; Halal
Olive + Lemon,3604 Major MacKenzie Dr W,Italian; Pizza; Seafood
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Japanese; Steakhouses
Dönerland,217 Roncesvalles Avenue,Mediterranean; Kebab; Halal
Eggspectation,483 Bay Street,Breakfast & Brunch; Juice Bars & Smoothies
Alo Restaurant,163 Spadina Avenue,Bars; French
Fresco’s Fish & Chips,201 Augusta Avenue,Fish & Chips; Chicken Wings; Sandwiches
Tinuno,31 Howard Street,Filipino
GB Hand-pulled Noodles,66 Edward Street,Chinese; Noodles
CN Tower,301 Front St W,Landmarks & Historical Buildings; Observatories
Bar Isabel,797 College Street,Spanish; Tapas Bars
KINKA IZAKAYA ANNEX,559 Bloor St W,Japanese; Tapas/Small Plates; Pubs
Wilbur Mexicana,552 King Street W,Mexican
Banh Mi Boys,399 Yonge Street,Vietnamese; Asian Fusion
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Japanese; Steakhouses
Spice Club Indian Cuisine,4532 Kingston Road,Indian
Dönerland,217 Roncesvalles Avenue,Kebab; Halal; Mediterranean
Juicy Dumpling,280 Spadina Ave,Dim Sum; Dumplings
Ravi Soups,322 Adelaide Street W,Sandwiches; Soup
Black Camel,4 Crescent Road,Sandwiches
Adamson Barbecue,176 Wicksteed Avenue,Barbeque
Mystic Muffin,113 Jarvis Street,Sandwiches; Middle Eastern; Coffee & Tea
Saku Sushi,478 Queen Street W,Sushi Bars; Japanese
Beerbistro,18 King Street E,Bistros; Beer Bar
Descendant Detroit Style Pizza,1168 Queen Street E,Pizza
BarChef,472 Queen Street W,Lounges; Cocktail Bars
Emma’s Country Kitchen,810 Saint Clair Avenue W,Breakfast & Brunch; Bakeries; Comfort Food
Flame Food+Design,2197 Bloor Street W,Turkish; Canadian (New)
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Barbeque; Steakhouses
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Olive + Lemon,3604 Major MacKenzie Dr W,Pizza; Seafood; Italian
Soma Chocolatemaker,443 King Street West,Chocolatiers & Shops; Ice Cream & Frozen Yogurt; Desserts
Sansotei,650 Yonge Street,Ramen
The Keg Steakhouse + Bar - Mansion,515 Jarvis Street,Steakhouses; Bars; Seafood
AGO - Art Gallery of Ontario,317 Dundas Street W,Art Museums
Tsujiri,147 Dundas Street,Tea Rooms; Ice Cream & Frozen Yogurt; Desserts
Tibet Kitchen,1544 Queen Street W,Himalayan/Nepalese
Café Polonez,195 Roncesvalles Avenue,Polish
Beast Restaurant,96 Tecumseth Street,Canadian (New); Breakfast & Brunch
Lamesa Filipino Kitchen,634 St Clair Avenue W,Filipino
Royal Ontario Museum,100 Queen's Park,Museums
Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Barbeque; Steakhouses
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Ikkousha Ramen,249 Queen Street W,Ramen
Japango,122 Elizabeth Street,Sushi Bars
Wow Sushi,11 Charles Street,Sushi Bars
Nadege,780 Queen Street W,Desserts; Macarons; Patisserie/Cake Shop
Aloette,163 Spadina Avenue,French; Bistros; Diners
Le Sélect Bistro,432 Wellington Street W,French; Coffee & Tea; Breakfast & Brunch
Mira,420A Wellington Street W,Peruvian
Salad King Restaurant,340 Yonge Street,Thai
Yuzu No Hana,236 Adelaide Street W,Sushi Bars; Japanese
Hibiscus,238 Augusta Avenue,Vegan; Vegetarian; Gluten-Free
Olive + Lemon,3604 Major MacKenzie Dr W,Pizza; Italian; Seafood
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Japanese; Steakhouses
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Dönerland,217 Roncesvalles Avenue,Halal; Kebab; Mediterranean
Grand Electric,1330 Queen Street W,Bars; Mexican
Sabai Sabai Kitchen and Bar,81 Bloor Street E,Laotian; Thai; Bars
Bannock,401 Bay Street,Canadian (New); Sandwiches; Breakfast & Brunch
Poke Guys,112 Elizabeth Street,Hawaiian; Poke
Eva’s Original Chimneys,454 Bloor Street W,Desserts; Bakeries; Ice Cream & Frozen Yogurt
Bar Raval,505 College Street,Spanish; Tapas/Small Plates; Cocktail Bars
Cluck Clucks,222 The Esplanade,Chicken Shop; Comfort Food; Sandwiches
Barque Smokehouse,299 Roncesvalles Avenue,Barbeque; Smokehouse
Ruby Watchco,730 Queen Street E,Canadian (New)
Nuit Social,1168 Queen Street W,Cocktail Bars; Modern European; Canadian (New)
Gyubee Japanese Grill - Dundas,157 Dundas St W,Japanese; Barbeque
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Steakhouses; Japanese
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Spice Club Indian Cuisine,4532 Kingston Road,Indian
The Carbon Bar,99 Queen Street E,Barbeque; Bars; American (Traditional)
La Bella Managua,872 Bloor Street W,Latin American; Nicaraguan
Agio,1351 St Clair Avenue W,Italian
Snakes & Lattes Annex,600 Bloor Street W,Bars; Cafes
