,Name,Address,Cusine
0,Gyubee Japanese Grill - Dundas,157 Dundas St W,Japanese; Barbeque
1,Indian Spice Room,717 Queen Street E,Vegetarian; Indian
2,Olive + Lemon,3604 Major MacKenzie Dr W,Seafood; Pizza; Italian
3,Pai Northern Thai Kitchen,18 Duncan Street,Thai
4,Seven Lives Tacos Y Mariscos,69 Kensington Avenue,Mexican
5,KINKA IZAKAYA ORIGINAL,398 Church St,Japanese; Pubs
6,Banh Mi Boys,392 Queen Street W,Vietnamese; Sandwiches
7,Richmond Station,1 Richmond Street W,Canadian (New)
8,Byblos,11 Duncan Street,Mediterranean; Middle Eastern
9,Bang Bang Ice Cream and Bakery,93a Ossington Avenue,Desserts; Ice Cream & Frozen Yogurt
10,Khao San Road,11 Charlotte Street,Thai
11,Ramen Isshin,421 College Street,Ramen
12,Blaze Fast-Fired Pizza,10 Dundas Street East,Pizza; Salad; Fast Food
13,Flame Food+Design,2197 Bloor Street W,Canadian (New); Turkish
14,Ozzys Burgers Vaughan,3175 Rutherford Road,Burgers
15,Spice Club Indian Cuisine,4532 Kingston Road,Indian
16,Pearl Diver,100 Adelaide Street E,Seafood; Comfort Food; Breakfast & Brunch
17,Fahrenheit Coffee,120 Lombard Avenue,Coffee & Tea
18,The Stockyards,699 St. Clair Avenue W,American (Traditional); Barbeque; Burgers
19,Mildreds Temple Kitchen,85 Hanna Avenue,Breakfast & Brunch; Canadian (New)
20,Ripleys Aquarium of Canada,288 Bremner Blvd,Aquariums
21,Scaramouche Restaurant Pasta Bar & Grill,1 Benvenuto Place,French; Bars
22,JaBistro,222 Richmond Street W,Japanese; Sushi Bars
23,Lee Restaurant,601 King Street W,Asian Fusion
24,Katsuya,66 Gerrard Street E,Japanese; Asian Fusion
25,Hokkaido Ramen Santouka,91 Dundas Street E,Ramen; Noodles
26,Dönerland,217 Roncesvalles Avenue,Kebab; Mediterranean; Halal
27,Olive + Lemon,3604 Major MacKenzie Dr W,Italian; Pizza; Seafood
28,Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Japanese; Steakhouses
29,Dönerland,217 Roncesvalles Avenue,Mediterranean; Kebab; Halal
30,Eggspectation,483 Bay Street,Breakfast & Brunch; Juice Bars & Smoothies
31,Alo Restaurant,163 Spadina Avenue,Bars; French
32,Frescos Fish & Chips,201 Augusta Avenue,Fish & Chips; Chicken Wings; Sandwiches
33,Tinuno,31 Howard Street,Filipino
34,GB Hand-pulled Noodles,66 Edward Street,Chinese; Noodles
35,CN Tower,301 Front St W,Landmarks & Historical Buildings; Observatories
36,Bar Isabel,797 College Street,Spanish; Tapas Bars
37,KINKA IZAKAYA ANNEX,559 Bloor St W,Japanese; Tapas/Small Plates; Pubs
38,Wilbur Mexicana,552 King Street W,Mexican
39,Banh Mi Boys,399 Yonge Street,Vietnamese; Asian Fusion
43,Dönerland,217 Roncesvalles Avenue,Kebab; Halal; Mediterranean
44,Juicy Dumpling,280 Spadina Ave,Dim Sum; Dumplings
45,Ravi Soups,322 Adelaide Street W,Sandwiches; Soup
46,Black Camel,4 Crescent Road,Sandwiches
47,Adamson Barbecue,176 Wicksteed Avenue,Barbeque
48,Mystic Muffin,113 Jarvis Street,Sandwiches; Middle Eastern; Coffee & Tea
49,Saku Sushi,478 Queen Street W,Sushi Bars; Japanese
50,Beerbistro,18 King Street E,Bistros; Beer Bar
51,Descendant Detroit Style Pizza,1168 Queen Street E,Pizza
52,BarChef,472 Queen Street W,Lounges; Cocktail Bars
53,Emmas Country Kitchen,810 Saint Clair Avenue W,Breakfast & Brunch; Bakeries; Comfort Food
54,Flame Food+Design,2197 Bloor Street W,Turkish; Canadian (New)
55,Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Barbeque; Steakhouses
57,Olive + Lemon,3604 Major MacKenzie Dr W,Pizza; Seafood; Italian
58,Soma Chocolatemaker,443 King Street West,Chocolatiers & Shops; Ice Cream & Frozen Yogurt; Desserts
59,Sansotei,650 Yonge Street,Ramen
60,The Keg Steakhouse + Bar - Mansion,515 Jarvis Street,Steakhouses; Bars; Seafood
61,AGO - Art Gallery of Ontario,317 Dundas Street W,Art Museums
62,Tsujiri,147 Dundas Street,Tea Rooms; Ice Cream & Frozen Yogurt; Desserts
63,Tibet Kitchen,1544 Queen Street W,Himalayan/Nepalese
64,Café Polonez,195 Roncesvalles Avenue,Polish
65,Beast Restaurant,96 Tecumseth Street,Canadian (New); Breakfast & Brunch
66,Lamesa Filipino Kitchen,634 St Clair Avenue W,Filipino
67,Royal Ontario Museum,100 Queen's Park,Museums
68,Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
71,Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
72,Ikkousha Ramen,249 Queen Street W,Ramen
73,Japango,122 Elizabeth Street,Sushi Bars
74,Wow Sushi,11 Charles Street,Sushi Bars
75,Nadege,780 Queen Street W,Desserts; Macarons; Patisserie/Cake Shop
76,Aloette,163 Spadina Avenue,French; Bistros; Diners
77,Le Sélect Bistro,432 Wellington Street W,French; Coffee & Tea; Breakfast & Brunch
78,Mira,420A Wellington Street W,Peruvian
79,Salad King Restaurant,340 Yonge Street,Thai
80,Yuzu No Hana,236 Adelaide Street W,Sushi Bars; Japanese
81,Hibiscus,238 Augusta Avenue,Vegan; Vegetarian; Gluten-Free
82,Olive + Lemon,3604 Major MacKenzie Dr W,Pizza; Italian; Seafood
85,Dönerland,217 Roncesvalles Avenue,Halal; Kebab; Mediterranean
86,Grand Electric,1330 Queen Street W,Bars; Mexican
87,Sabai Sabai Kitchen and Bar,81 Bloor Street E,Laotian; Thai; Bars
88,Bannock,401 Bay Street,Canadian (New); Sandwiches; Breakfast & Brunch
89,Poke Guys,112 Elizabeth Street,Hawaiian; Poke
90,Evas Original Chimneys,454 Bloor Street W,Desserts; Bakeries; Ice Cream & Frozen Yogurt
91,Bar Raval,505 College Street,Spanish; Tapas/Small Plates; Cocktail Bars
92,Cluck Clucks,222 The Esplanade,Chicken Shop; Comfort Food; Sandwiches
93,Barque Smokehouse,299 Roncesvalles Avenue,Barbeque; Smokehouse
