Name,Cusine,Coordinates,Address,Address(Full)
Gyubee Japanese Grill - Dundas,Japanese; Barbeque,"(43.4741482589218, -79.7349969754881)",157 Dundas St W,"157, Dundas Street West, Trafalgar, Oakville, Halton Region, Golden Horseshoe, Ontario, L6M 4M2, Canada"
Indian Spice Room,Vegetarian; Indian,"(43.6588529285714, -79.3493249857143)",717 Queen Street E,"717, Queen Street East, Riverdale, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1H4, Canada"
Olive + Lemon,Seafood; Pizza; Italian,"(43.8452512623755, -79.5570956086677)",3604 Major MacKenzie Dr W,"3604, Major MacKenzie Drive West, Vellore, Maple, Vaughan, York Region, Golden Horseshoe, Ontario, L4H 0A2, Canada"
Pai Northern Thai Kitchen,Thai,"(43.64784105, -79.3887814554641)",18 Duncan Street,"PAI, 18, Duncan Street, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Seven Lives Tacos Y Mariscos,Mexican,"(43.6544047, -79.4004185)",69 Kensington Avenue,"Seven Lives Tacos Y Mariscos, 69, Kensington Avenue, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2K2, Canada"
KINKA IZAKAYA ORIGINAL,Japanese; Pubs,"(43.660404, -79.3789396)",398 Church St,"Kinka Izakaya, 398, Church Street, Garden District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1J6, Canada"
Banh Mi Boys,Vietnamese; Sandwiches,"(43.6487442, -79.3969443)",392 Queen Street W,"Banh Mi Boys, 392, Queen Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2A9, Canada"
Richmond Station,Canadian (New),"(43.6513837, -79.3789722)",1 Richmond Street W,"A&W, 1, Richmond Street West, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Byblos,Mediterranean; Middle Eastern,"(43.8584932, -81.2491229)",11 Duncan Street,"11, Duncan Street, Morris-Turnberry, Huron County, Ontario, Canada"
Bang Bang Ice Cream and Bakery,Desserts; Ice Cream & Frozen Yogurt,"(43.646239, -79.4194056)",93a Ossington Avenue,"Bang Bang Ice Cream, 93A, Ossington Avenue, Ossington Strip, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2Z5, Canada"
Khao San Road,Thai,"(43.6463913, -79.3936588)",11 Charlotte Street,"Khao San Road, 11, Charlotte Street, Fashion District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1K1, Canada"
Ramen Isshin,Ramen,"(43.6564433, -79.4068731)",421 College Street,"Isshin Ramen, 421, College Street, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1T3, Canada"
Blaze Fast-Fired Pizza,Pizza; Salad; Fast Food,"(43.6565847, -79.3805395)",10 Dundas Street East,"Milestones, 10, Dundas Street East, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 2G9, Canada"
Flame Food+Design,Canadian (New); Turkish,"(43.6512113, -79.4751539)",2197 Bloor Street W,"Flame Food + Design, 2197, Bloor Street West, Bloor West Village, Swansea, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Ozzys Burgers Vaughan,Burgers,"(43.8291978, -79.5390965)",3175 Rutherford Road,"3175, Rutherford Road, Vellore, Maple, Vaughan, York Region, Golden Horseshoe, Ontario, L4K 5R3, Canada"
Spice Club Indian Cuisine,Indian,"(43.7723315573085, -79.1855623997777)",4532 Kingston Road,"4532, Kingston Road, Scarborough—Rouge Park, Scarborough, Toronto, Ontario, M1E 3E6, Canada"
Pearl Diver,Seafood; Comfort Food; Breakfast & Brunch,"(43.651510125, -79.3738285)",100 Adelaide Street E,"100, Adelaide Street East, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 1K9, Canada"
Fahrenheit Coffee,Coffee & Tea,"(41.99713114, -82.83242752)",120 Lombard Avenue,"120, Lombard Avenue, Town of Essex, Essex County, Ontario, N9Y 2E6, Canada"
The Stockyards,American (Traditional); Barbeque; Burgers,"(43.6814516647059, -79.4263322529412)",699 St. Clair Avenue W,"699, St. Clair Avenue West, Hillcrest Village, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6C 1B9, Canada"
Mildreds Temple Kitchen,Breakfast & Brunch; Canadian (New),"(43.64007975, -79.4198230498866)",85 Hanna Avenue,"85, Hanna Avenue, Liberty Village, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1X4, Canada"
Ripleys Aquarium of Canada,Aquariums,"(43.6424219, -79.3861229074419)",288 Bremner Blvd,"Ripley's Aquarium of Canada, 288, Bremner Boulevard, Harbourfront, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3L9, Canada"
Scaramouche Restaurant Pasta Bar & Grill,French; Bars,"(43.6818722, -79.4002222)",1 Benvenuto Place,"1, Benvenuto Place, South Hill, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4V 2J1, Canada"
JaBistro,Japanese; Sushi Bars,"(43.6497905, -79.3882051)",222 Richmond Street W,"JaBistro, 222, Richmond Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Lee Restaurant,Asian Fusion,"(44.7052203, -75.5211648)",601 King Street W,"601, King Street West, Augusta, Prescott, Eastern Ontario, Ontario, K0E 1T0, Canada"
